Unnamed: 0,State,District,Persons,Males,Females,Growth Rate,Rural,Number of Households,Household Size per Household,Females per 1000 Males,"Sex Ratio,0-6 Year Olds",Literate Persons,Literacy Rate,Total Educated,Total Uneducated,Below Primary,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate Degree or Above,1st Religion Name,1st Religion Population,2nd Religion Name,2nd Religion Population,3rd Religion Name,3rd Religion Population,Drinking Water Facilities,Safe Drinking Water Facilities,Electric Supply,Primary School,Middle Schools,Secondary Schools,Medical Facilities,Primary Health Centers,Communication Facilities,Bus Services,Paved Approach Road,Mud Approach Road,Permanent Housing Rate,Semi-Permanent Housing Rate,Temporary Housing Rate,Rate of Clean Water Facilities,Communication Facilities per 1000 People,Drinking Facilities per 1000 People,Medical Facilities per 1000 People,Permanent Housing,Semi-Permanent Housing,Temporary Housing,Total Housing,Religion 1 Percent Population,Religion 2 Percent Population,Religion 3 Percent Population,Rural Percent Population,Female to Male Ratio,District Name
15,Andhra,"District Visakhapatnam (13), Andhra Pradesh (28)",3832336,1930197,1902139,15.36,2301437,887003.0,4.0,985.0,976.0,2002316,59.96,2002316.0,75488.0,417446.0,577938.0,211419.0,535115.0,184767.0,Hindus,3688280,Muslims,71669,Christians,62227,3091.0,1746.0,3098.0,2293.0,423,241,1647.0,486,715.0,858,1129,1056,0.00588,0.00111,0.00302,0.5648657392429635,0.18657027985020103,0.8065576713524075,0.4297639872913022,22534.0,4254.0,11574.0,38362.0,0.9624103940781811,0.018701126414802878,0.01623735497096288,0.6005311120945553,0.985,District Visakhapatnam 
16,Andhra,"District West Godavari (15), Andhra Pradesh (28)",3803517,1910038,1893479,7.92,3052630,947276.0,4.0,991.0,969.0,2458822,73.53,2458822.0,76849.0,715101.0,867078.0,239220.0,438313.0,122202.0,Hindus,3580207,Christians,138363,Muslims,79048,844.0,843.0,845.0,805.0,425,311,576.0,66,750.0,751,720,119,0.0054,0.00113,0.0034700000000000004,0.9988151658767772,0.19718592029429605,0.22189988897118115,0.15143878678601935,20539.0,4298.0,13198.0,38035.0,0.9412885495187744,0.03637764731957291,0.020782870169898018,0.8025808744906359,0.991,District West Godavari 
17,Andhra,"District Krishna (16), Andhra Pradesh (28)",4187841,2117401,2070440,14.05,2844394,1011891.0,4.0,978.0,963.0,2539974,68.85,2539974.0,76918.0,603868.0,807042.0,269230.0,605480.0,177102.0,Hindus,3729204,Muslims,265617,Christians,182614,948.0,944.0,948.0,931.0,482,281,642.0,64,838.0,870,832,111,0.00508,0.00115,0.00377,0.9957805907172996,0.20010310802153186,0.22636962578092149,0.15330094910480124,21274.0,4816.0,15788.0,41878.0,0.8904836644944256,0.06342576043359813,0.04360576249193797,0.679202959233648,0.978,District Krishna 
18,Andhra,"District Guntur (17), Andhra Pradesh (28)",4465144,2250279,2214865,7.27,3179384,1077303.0,4.0,984.0,959.0,2455965,62.54,2455965.0,94688.0,579683.0,804976.0,241137.0,559524.0,175832.0,Hindus,3834204,Muslims,487839,Christians,131713,694.0,693.0,694.0,690.0,423,337,584.0,71,664.0,666,628,66,0.00534,0.0015199999999999999,0.00314,0.9985590778097982,0.14870741010816227,0.15542611839618162,0.1307908546734439,23844.0,6787.0,14021.0,44652.0,0.8586966064252352,0.10925493108396953,0.029498040824663212,0.7120451210532068,0.984,District Guntur 
19,Andhra,"District Prakasam (18), Andhra Pradesh (28)",3059423,1552332,1507091,10.72,2592055,702559.0,4.0,971.0,954.0,1532126,57.38,1532126.0,49645.0,391396.0,512915.0,143921.0,341687.0,92527.0,Hindus,2825681,Muslims,195637,Christians,32674,992.0,991.0,992.0,941.0,417,318,540.0,74,759.0,879,909,76,0.00598,0.0016399999999999997,0.00238,0.998991935483871,0.24808599530042102,0.32424414669040535,0.17650387017421257,18295.0,5017.0,7281.0,30593.0,0.9235993192180355,0.06394571786902302,0.010679791581615226,0.8472365540822567,0.971,District Prakasam 
20,Andhra,"District Nellore (19), Andhra Pradesh (28)",2668564,1344935,1323629,11.18,2069521,640942.0,4.0,984.0,954.0,1522866,65.08,1522866.0,73132.0,375380.0,515113.0,149694.0,316461.0,93056.0,Hindus,2382701,Muslims,248676,Christians,31593,1110.0,1099.0,1110.0,1053.0,397,266,520.0,65,842.0,981,1102,6,0.00573,0.00105,0.00322,0.9900900900900901,0.31552550360418563,0.41595404869435393,0.19486135614510275,15291.0,2802.0,8593.0,26686.0,0.8928775925928701,0.09318719730911457,0.011838951585946599,0.7755185935207101,0.984,District Nellore 
21,Andhra,"District Cuddapah (20), Andhra Pradesh (28)",2601797,1318093,1283704,13.48,2014044,585987.0,4.0,974.0,950.0,1420752,62.83,1420752.0,61409.0,315821.0,482912.0,145747.0,323102.0,91650.0,Hindus,2181572,Muslims,386900,Christians,28978,875.0,873.0,875.0,853.0,342,245,432.0,74,671.0,773,712,158,0.00501,0.00286,0.00212,0.9977142857142857,0.25789867541549166,0.3363060223376382,0.16603908759983965,13035.0,7441.0,5516.0,25992.0,0.8384866305864754,0.14870491433420824,0.011137686760342947,0.7740972873748413,0.974,District Cuddapah 
22,Andhra,"District Kurnool (21), Andhra Pradesh (28)",3529494,1796214,1733280,18.14,2712030,699191.0,5.0,965.0,958.0,1592172,53.22,1592172.0,64483.0,396608.0,526192.0,139903.0,363649.0,101204.0,Hindus,2910182,Muslims,572404,Christians,40581,884.0,884.0,884.0,877.0,398,224,634.0,80,798.0,782,705,179,0.0032,0.005180000000000001,0.0016200000000000001,1.0,0.22609473199274455,0.25046083092930604,0.17962914797418553,11294.0,18283.0,5718.0,35295.0,0.8245323550627937,0.16217735460097113,0.011497682104006977,0.7683905964991016,0.965,District Kurnool 
23,Andhra,"District Anantapur (22), Andhra Pradesh (28)",3640478,1859588,1780890,14.31,2720915,779052.0,5.0,958.0,958.0,1774088,56.13,1774088.0,46809.0,398372.0,667978.0,177709.0,380349.0,102827.0,Hindus,3225156,Muslims,389201,Christians,20770,925.0,925.0,925.0,900.0,406,291,595.0,72,807.0,852,767,155,0.005520000000000001,0.00307,0.0013800000000000002,1.0,0.22167418674141146,0.25408751268377394,0.16344007572631947,20095.0,11176.0,5024.0,36295.0,0.8859155308725942,0.10690931245841892,0.005705294744261605,0.7474059725124008,0.958,District Anantapur 
24,Andhra,"District Chittoor (23), Andhra Pradesh (28)",3745875,1889690,1856185,14.54,2934845,848607.0,4.0,982.0,954.0,2176990,66.77,2176990.0,78776.0,484531.0,769687.0,240584.0,466832.0,136183.0,Hindus,3368878,Muslims,342965,Christians,28337,1479.0,1478.0,1480.0,1365.0,597,346,683.0,90,1101.0,1222,1096,378,0.00586,0.0008100000000000001,0.0033299999999999996,0.9993238674780257,0.29392331564721197,0.3948343177495245,0.18233390062401975,21951.0,3034.0,12474.0,37459.0,0.8993567591016786,0.0915580471852371,0.007564854673474155,0.7834871692194748,0.982,District Chittoor 
25,ArunachalPradesh,"District Tawang (01), Arunachal Pradesh (12)",38924,21846,17078,22.69,30548,8294.0,5.0,782.0,948.0,15337,47.32,15337.0,496.0,3835.0,3146.0,2535.0,4535.0,785.0,Buddhists,29083,Hindus,8440,Sikhs,420,180.0,159.0,173.0,63.0,13,2,23.0,9,54.0,59,57,52,0.00511,0.00368,0.00121,0.8833333333333333,1.3873188778131744,4.6243962593772485,0.5908950775870928,199.0,143.0,47.0,389.0,0.7471739800637139,0.2168328023841332,0.010790257938546911,0.7848114273969787,0.782,District Tawang 
26,ArunachalPradesh,"District West Kameng (02), Arunachal Pradesh (12)",74599,42542,32057,32.21,67906,15637.0,5.0,754.0,955.0,37687,60.76,37687.0,833.0,10517.0,8778.0,5725.0,9725.0,2108.0,Buddhists,33104,Hindus,32125,Others,4750,213.0,211.0,168.0,97.0,22,11,47.0,7,15.0,41,43,72,0.0032700000000000003,0.0033799999999999998,0.0033399999999999997,0.9906103286384976,0.20107508143540798,2.8552661563827932,0.6300352551642783,244.0,252.0,249.0,745.0,0.4437592997225164,0.43063579940749874,0.0636737757878792,0.910280298663521,0.754,District West Kameng 
27,ArunachalPradesh,"District East Kameng (03), Arunachal Pradesh (12)",57179,28802,28377,13.24,42177,12018.0,5.0,985.0,1035.0,18338,40.64,18338.0,290.0,6995.0,4524.0,2962.0,2783.0,783.0,Others,31538,Christians,14550,Hindus,9943,309.0,284.0,44.0,128.0,34,6,89.0,6,11.0,40,137,4,0.00107,0.0026,0.00634,0.919093851132686,0.19237832071214955,5.404081918186747,1.5565155039437555,61.0,149.0,363.0,573.0,0.5515661344199794,0.2544640514874342,0.17389251298553665,0.7376309484251211,0.985,District East Kameng 
28,ArunachalPradesh,"District Papum Pare * (04), Arunachal Pradesh (12)",122003,64184,57819,67.21,59961,24636.0,5.0,901.0,977.0,69982,69.32,69982.0,1189.0,15664.0,15056.0,11464.0,19892.0,6715.0,Hindus,51026,Christians,36574,Others,25395,267.0,215.0,60.0,69.0,25,8,17.0,3,11.0,21,103,87,0.00411,0.00316,0.0027300000000000002,0.8052434456928839,0.09016171733481963,2.188470775308804,0.1393408358810849,501.0,386.0,333.0,1220.0,0.4182356171569552,0.29977951361851757,0.2081506192470677,0.49147152119210186,0.901,District Papum Pare * 
29,ArunachalPradesh,"District Lower Subansiri (05), Arunachal Pradesh (12)",98244,49542,48702,17.37,85860,19456.0,5.0,983.0,1004.0,35933,44.79,35933.0,1292.0,10147.0,9338.0,6443.0,7104.0,1605.0,Others,62481,Christians,24078,Hindus,10493,652.0,383.0,175.0,147.0,75,22,74.0,16,15.0,57,146,219,0.00156,0.0021100000000000003,0.00633,0.5874233128834356,0.15268107976059608,6.636537600260576,0.7532266601522739,153.0,207.0,622.0,982.0,0.6359777696347868,0.2450836692317088,0.1068055046618623,0.8739465005496518,0.983,District Lower Subansiri 
30,ArunachalPradesh,"District Upper Subansiri (06), Arunachal Pradesh (12)",55346,28240,27106,9.8,39590,10862.0,5.0,960.0,984.0,22379,50.35,22379.0,236.0,7953.0,6037.0,3525.0,3732.0,896.0,Others,45318,Hindus,5572,Christians,3240,398.0,252.0,77.0,141.0,33,10,26.0,2,9.0,58,55,153,0.00111,0.0008100000000000001,0.00804,0.6331658291457286,0.16261337766053552,7.191124923210349,0.4697719799082138,61.0,45.0,445.0,551.0,0.8188125609800166,0.1006757489249449,0.05854081595779279,0.7153181801756224,0.96,District Upper Subansiri 
31,ArunachalPradesh,"District West Siang (07), Arunachal Pradesh (12)",103918,54349,49569,15.17,82806,18251.0,6.0,912.0,949.0,51216,59.47,51216.0,1052.0,16056.0,14264.0,8677.0,8702.0,2463.0,Others,61183,Christians,20122,Hindus,17711,398.0,348.0,115.0,221.0,66,19,48.0,12,22.0,86,105,209,0.00153,0.00092,0.00755,0.8743718592964824,0.21170538309051368,3.8299428395465656,0.4619026540156662,159.0,96.0,785.0,1040.0,0.5887622933466772,0.19363344175215075,0.17043245635982215,0.7968398160087762,0.912,District West Siang 
32,ArunachalPradesh,"District East Siang (08), Arunachal Pradesh (12)",87397,45265,42132,21.66,65432,16133.0,5.0,931.0,957.0,43495,60.73,43495.0,634.0,11850.0,12096.0,7375.0,8782.0,2758.0,Others,43944,Hindus,26352,Christians,13406,144.0,141.0,120.0,116.0,31,18,21.0,9,29.0,65,70,57,0.00191,0.001,0.007040000000000001,0.9791666666666666,0.3318191699943934,1.6476538096273328,0.24028284723731935,167.0,87.0,615.0,869.0,0.5028090209046077,0.3015206471618019,0.15339199286016683,0.7486755838301086,0.931,District East Siang 
33,ArunachalPradesh,"District Upper Siang * (09), Arunachal Pradesh (12)",33363,18057,15306,19.32,33363,6849.0,5.0,848.0,1010.0,13424,49.78,13424.0,234.0,3821.0,3744.0,2481.0,2497.0,631.0,Others,19477,Hindus,6116,Christians,4291,92.0,82.0,42.0,62.0,15,9,11.0,3,9.0,29,38,74,0.00159,0.00207,0.00634,0.8913043478260869,0.2697599136768276,2.7575457842520157,0.3297065611605671,53.0,69.0,212.0,334.0,0.5837904265203968,0.1833168480052753,0.12861553217636304,1.0,0.848,District Upper Siang * 
34,ArunachalPradesh,"District Dibang Valley (10), Arunachal Pradesh (12)",57720,31442,26278,33.61,47613,11932.0,5.0,836.0,945.0,27854,58.89,27854.0,399.0,8928.0,7395.0,4581.0,5211.0,1339.0,Hindus,31700,Others,13992,Christians,6134,213.0,177.0,70.0,55.0,24,12,25.0,8,25.0,53,65,74,0.00134,0.00213,0.006509999999999999,0.8309859154929577,0.4331254331254331,3.6902286902286905,0.4331254331254331,77.0,123.0,376.0,576.0,0.5492030492030492,0.24241164241164243,0.10627165627165627,0.8248960498960499,0.836,District Dibang Valley 
35,ArunachalPradesh,"District Lohit (11), Arunachal Pradesh (12)",143527,77314,66213,30.78,116765,28537.0,5.0,856.0,933.0,64445,56.07,64445.0,981.0,21909.0,17174.0,11292.0,10511.0,2576.0,Hindus,103151,Buddhists,22935,Christians,8253,493.0,475.0,184.0,160.0,36,15,40.0,7,54.0,105,197,107,0.00158,0.0010800000000000002,0.00733,0.9634888438133874,0.37623583019222867,3.434893783051273,0.27869320754979904,227.0,155.0,1052.0,1434.0,0.7186870762992329,0.15979571787886598,0.05750137604771228,0.813540309488807,0.856,District Lohit 
36,ArunachalPradesh,"District Changlang (12), Arunachal Pradesh (12)",125422,65821,59601,30.84,113034,24012.0,5.0,906.0,954.0,51291,51.32,51291.0,1311.0,18470.0,13700.0,8179.0,7679.0,1952.0,Hindus,50183,Buddhists,42744,Christians,21931,336.0,307.0,277.0,179.0,47,25,64.0,7,45.0,64,195,133,0.00149,0.00111,0.007390000000000001,0.9136904761904762,0.3587887292500518,2.6789558450670534,0.510277303822296,187.0,139.0,927.0,1253.0,0.40011321777678555,0.3408014542903159,0.1748576804707308,0.9012294493788968,0.906,District Changlang 
37,ArunachalPradesh,"District Tirap (13), Arunachal Pradesh (12)",100326,52537,47789,17.21,85032,18957.0,5.0,910.0,941.0,33404,41.73,33404.0,399.0,12592.0,8387.0,5230.0,5360.0,1436.0,Christians,50199,Hindus,27123,Others,14568,167.0,151.0,147.0,137.0,32,8,41.0,3,29.0,48,67,85,0.0012900000000000001,0.00075,0.00795,0.9041916167664671,0.28905767198931487,1.6645734904212268,0.40866774315730714,129.0,75.0,798.0,1002.0,0.500358830213504,0.2703486633574547,0.1452066263979427,0.8475569642963937,0.91,District Tirap 
41,Assam,"District Bongaigaon (04), Assam (18)",904835,465240,439595,12.23,795053,168556.0,5.0,945.0,972.0,439861,59.33,439861.0,7842.0,142193.0,106878.0,81738.0,84500.0,16694.0,Hindus,535464,Muslims,348573,Christians,18728,881.0,876.0,607.0,805.0,340,138,112.0,25,132.0,299,347,732,0.0017699999999999999,0.0039000000000000003,0.00433,0.9943246311010215,0.14588295103527163,0.9736581807732901,0.12377947360568502,1602.0,3529.0,3918.0,9049.0,0.5917808219178082,0.38523377190316466,0.020697696265064902,0.8786718020412562,0.945,District Bongaigaon 
43,Assam,"District Kamrup (06), Assam (18)",2522324,1326981,1195343,25.75,1614107,490740.0,5.0,901.0,957.0,1608191,74.16,1608191.0,28042.0,355779.0,312309.0,275453.0,466555.0,169680.0,Hindus,1836153,Muslims,625002,Christians,44257,1342.0,1311.0,1042.0,1190.0,592,286,468.0,42,378.0,702,938,1232,0.0033,0.0035100000000000005,0.00319,0.9769001490312966,0.1498617941231975,0.5320490151146323,0.18554317367633977,8324.0,8853.0,8046.0,25223.0,0.7279608012293425,0.247788150927478,0.017546120165371302,0.6399284945153755,0.901,District Kamrup 
44,Assam,"District Nalbari (07), Assam (18)",1148824,592375,556449,11.98,1121338,202708.0,6.0,939.0,958.0,657925,67.23,657925.0,14188.0,178933.0,138882.0,121336.0,174317.0,30251.0,Hindus,873749,Muslims,253842,Christians,18495,798.0,796.0,733.0,769.0,481,226,179.0,32,273.0,362,375,781,0.00155,0.00307,0.005379999999999999,0.9974937343358395,0.2376343112609068,0.6946233713780353,0.1558115081161257,1781.0,3527.0,6181.0,11489.0,0.7605594938824398,0.22095812761571834,0.016099071746411984,0.976074664178325,0.939,District Nalbari 
46,Assam,"District Marigaon (09), Assam (18)",776256,398926,377330,21.29,738268,133458.0,6.0,946.0,965.0,367292,58.53,367292.0,7934.0,121385.0,89100.0,67786.0,69749.0,11307.0,Hindus,405302,Muslims,369398,Christians,759,592.0,592.0,389.0,531.0,255,104,219.0,15,162.0,269,281,575,0.00107,0.0024,0.00653,1.0,0.20869403907989117,0.7626350070079974,0.28212342320059364,831.0,1863.0,5069.0,7763.0,0.5221241446120868,0.475871362024899,0.0009777702201335641,0.9510625360705747,0.946,District Marigaon 
50,Assam,"District Dhemaji (13), Assam (18)",571944,294643,277301,18.93,533112,96949.0,6.0,941.0,970.0,304606,64.48,304606.0,7541.0,80592.0,62969.0,57868.0,85106.0,10527.0,Hindus,548780,Muslims,10533,Christians,6390,1236.0,1235.0,253.0,1068.0,505,172,83.0,20,94.0,185,317,1111,0.00058,0.0016699999999999998,0.00775,0.9991909385113269,0.16435175471724506,2.1610507322395196,0.14511910256948232,332.0,955.0,4433.0,5720.0,0.9594995314226568,0.018416138642944065,0.011172422474927616,0.9321052410725525,0.941,District Dhemaji 
56,Assam,"District Karbi Anglong (19), Assam (18)",813311,422250,391061,22.57,721381,144334.0,6.0,926.0,973.0,382574,57.7,382574.0,10917.0,129961.0,97842.0,71385.0,63345.0,9112.0,Hindus,670139,Christians,117738,Muslims,18091,2633.0,1943.0,780.0,1209.0,392,79,72.0,36,184.0,510,899,1706,0.0008199999999999999,0.00135,0.00784,0.7379415115837448,0.22623572040707673,3.237383977346919,0.08852702102885612,667.0,1098.0,6376.0,8141.0,0.8239640186841196,0.14476381113743697,0.022243643575458834,0.886968207733573,0.926,District Karbi Anglong 
57,Assam,"District North Cachar Hills (20), Assam (18)",188079,99822,88257,23.47,128644,37294.0,5.0,884.0,955.0,106354,67.62,106354.0,2577.0,27696.0,26167.0,20031.0,25701.0,4126.0,Hindus,131492,Christians,50183,Muslims,4662,605.0,473.0,197.0,565.0,164,39,67.0,15,78.0,146,160,387,0.0017600000000000003,0.00234,0.0059,0.7818181818181819,0.4147193466575216,3.216733393946161,0.3562332849494096,331.0,440.0,1110.0,1881.0,0.6991317478293696,0.26681873042710774,0.02478745633483802,0.6839891747616693,0.884,District North Cachar Hills 
61,Bihar,"District Pashchim Champaran (01), Bihar (10)",3043466,1600839,1442627,30.4,2733907,522728.0,6.0,901.0,953.0,932347,38.93,932347.0,39777.0,303277.0,276791.0,120739.0,151304.0,39728.0,Hindus,2373310,Muslims,646597,Others,14304,1355.0,1355.0,344.0,1040.0,261,58,266.0,54,314.0,116,454,1303,0.00316,0.00165,0.00519,1.0,0.10317184420657237,0.4452160792990623,0.08740035209856131,9617.0,5022.0,15796.0,30435.0,0.7798049986429946,0.2124541558867423,0.004699904648187297,0.8982873473861709,0.901,District Pashchim Champaran 
63,Bihar,"District Sheohar * (03), Bihar (10)",515961,273680,242281,36.16,494699,106808.0,5.0,885.0,916.0,144444,35.27,144444.0,13313.0,38706.0,41449.0,18325.0,26264.0,6366.0,Hindus,435121,Muslims,80076,Religion not stated,418,189.0,189.0,43.0,161.0,56,14,57.0,9,61.0,15,68,186,0.0027,0.00136,0.00594,1.0,0.11822598994885272,0.3663067557431666,0.11047346601778042,1393.0,702.0,3065.0,5160.0,0.8433214913530286,0.15519777657613656,0.0008101387507970563,0.9587914590443851,0.885,District Sheohar * 
